	Cohort	Category	Substrate	Antibiotic	Anaerobic_Type	Stress	Gas_Status	Replicate	ModuleName	ModuleNameRep
DN_stresses_nacetylglucosamine_10percentcarbon_ae_1_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	10%C	aerobic	1	10%C_n-acetylglucosamine	10%C_n-acetylglucosamine_1
DN_stresses_nacetylglucosamine_10percentcarbon_ae_2_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	10%C	aerobic	2	10%C_n-acetylglucosamine	10%C_n-acetylglucosamine_2
DN_stresses_nacetylglucosamine_10percentcarbon_ae_6_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	10%C	aerobic	3	10%C_n-acetylglucosamine	10%C_n-acetylglucosamine_3
DN_stresses_nacetylglucosamine_10percentcarbon_ae_7_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	10%C	aerobic	4	10%C_n-acetylglucosamine	10%C_n-acetylglucosamine_4
DN_stresses_nacetylglucosamine_10percentcarbon_ae_8_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	10%C	aerobic	5	10%C_n-acetylglucosamine	10%C_n-acetylglucosamine_5
DN_stresses_nacetylglucosamine_10percentcarbon_ae_10_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	10%C	aerobic	6	10%C_n-acetylglucosamine	10%C_n-acetylglucosamine_6
DN_stresses_xylan_10percentcarbon_ae_4_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	10%C	aerobic	1	10%C_xylan	10%C_xylan_1
DN_stresses_xylan_10percentcarbon_ae_5_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	10%C	aerobic	2	10%C_xylan	10%C_xylan_2
DN_stresses_xylan_10percentcarbon_ae_7_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	10%C	aerobic	3	10%C_xylan	10%C_xylan_3
DN_stresses_xylan_10percentcarbon_ae_11_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	10%C	aerobic	4	10%C_xylan	10%C_xylan_4
DN_stresses_xylan_10percentcarbon_ae_12_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	10%C	aerobic	5	10%C_xylan	10%C_xylan_5
DN_stresses_xylose_10percentcarbon_ae_1_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	10%C	aerobic	1	10%C_xylose	10%C_xylose_1
DN_stresses_xylose_10percentcarbon_ae_2_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	10%C	aerobic	2	10%C_xylose	10%C_xylose_2
DN_stresses_xylose_10percentcarbon_ae_3_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	10%C	aerobic	3	10%C_xylose	10%C_xylose_3
DN_stresses_xylose_10percentcarbon_ae_4_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	10%C	aerobic	4	10%C_xylose	10%C_xylose_4
