Samplename,Genome,Domain,StudyName,Phylum,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem.Category,Ecosystem.Subtype,Ecosystem.Type,Environment,Genome_size_assembled,Gene_Count_assembled,Assimilatory Nitrite to ammonia,Dissimilatory Nitrite to Ammonia,Assimilatory Nitrate to Nitrite,Nitrogen Fixation,Dissimilatory Nitrate to Nitrite,Nitrification,Partial_Nitrification,Denitrification,Partial_NO,Partial_N2O,Partial_N2
Luteitalea pratensis DSM 100886,2687453111,Bacteria,Luteitalea pratensis DSM 100886 genome sequencing,Acidobacteria,unclassified,unclassified,unclassified,Luteitalea,Luteitalea pratensis,,,,,Uncategorized,7480314,6315,None,complete,incomplete,None,None,None,None,None,None,complete,complete
Candidatus Solibacter usitatus Ellin6076,639633060,Bacteria,Solibacter usitatus Ellin6076,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,Candidatus Solibacter usitatus,Environmental,Terrestrial,Unclassified,Agricultural field,Terrestrial Agriculture field,9965640,8003,None,complete,incomplete,None,None,None,None,incomplete,None,None,None
Candidatus Koribacter versatilis Ellin345,637000001,Bacteria,Acidobacteria Uncultured,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Candidatus Koribacter,Candidatus Koribacter versatilis,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,5650368,4837,None,incomplete,None,None,None,None,None,incomplete,None,None,None
"Terriglobus roseus KBS 63, DSM 18391",2510461070,Bacteria,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,5227858,4399,complete,incomplete,incomplete,None,None,None,None,None,None,None,None
Granulicella mallensis MP5ACTX8,2503982037,Bacteria,"Whole genome sequencing, assembly and initial annotation of Acidobacterium species from Arctic tundra soils",Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,6237577,4960,complete,incomplete,incomplete,None,None,None,None,None,None,None,None
Granulicella tundricola MP5ACTX9,649633002,Bacteria,"Whole genome sequencing, assembly and initial annotation of Acidobacterium species from Arctic tundra soils",Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,,,,,Uncategorized,5503984,4757,complete,incomplete,incomplete,None,None,None,None,None,None,None,None
"Terriglobus saanensis SP1PR4, DSM 23119",649633100,Bacteria,"Whole genome sequencing, assembly and initial annotation of Acidobacterium species from Arctic tundra soils",Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus saanensis,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,5095226,4333,None,incomplete,None,None,None,None,None,None,None,None,None
Chloracidobacterium thermophilum B,2512047033,Bacteria,Chloracidobacterium thermophilum B,Acidobacteria,Blastocatellia,unclassified,unclassified,Chloracidobacterium,Chloracidobacterium thermophilum,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3695372,3103,None,incomplete,None,None,None,None,None,None,None,None,None
Acidobacterium capsulatum ATCC 51196,643692001,Bacteria,Acidobacterium capsulatum ATCC 51196,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum,Environmental,Terrestrial,Mine,Geologic,Terrestrial Geologic,4127356,3425,None,incomplete,None,None,None,None,None,None,None,None,None
Mycobacterium rhodesiae NBB3,2508501106,Bacteria,"Genome sequencing of ethene and vinyl chloride-oxidizing Mycobacterium strains of significance to bioremediation, biocatalysis and biogeochemistry",Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium rhodesiae,Environmental,Aquatic,Intertidal zone,Marine,Aquatic  marine,6415739,6342,None,complete,None,None,complete,None,complete,incomplete,None,None,None
Mycobacterium chubuense NBB4,2506783014,Bacteria,"Genome sequencing of ethene and vinyl chloride-oxidizing Mycobacterium strains of significance to bioremediation, biocatalysis and biogeochemistry",Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium chubuense,,,,,Uncategorized,6342624,6069,None,complete,None,None,complete,None,complete,None,None,None,None
Mycobacterium paraintracellulare MOTT-64,2512564041,Bacteria,Mycobacterium paraintracellulare MOTT-64,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paraintracellulare,Host-associated,Human,Unclassified,Unclassified,Human Host,5501090,5297,None,complete,None,None,complete,None,None,None,complete,None,None
Mycobacterium indicus pranii MTCC 9506,2521172703,Bacteria,Mycobacterium indicus pranii MTCC 9506,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium indicus pranii,Host-associated,,,,Host,5589007,5318,None,complete,None,None,complete,None,None,None,complete,None,None
Acidipropionibacterium acidipropionici ATCC 55737,2671180803,Bacteria,Propionibacterium acidipropionici strain:ATCC 55737 Genome sequencing and assembly,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,,,,,Uncategorized,3707191,3484,None,complete,None,None,complete,None,None,None,complete,None,None
Acidipropionibacterium acidipropionici CGMCC 1.2230,2684623196,Bacteria,Propionibacterium acidipropionici strain:CGMCC 1.2230 Genome sequencing,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,,,,,Uncategorized,3651382,3373,None,complete,None,None,complete,None,None,None,complete,None,None
Acidipropionibacterium acidipropionici F3E8,2718218444,Bacteria,Acidipropionibacterium acidipropionici F3E8 Genome sequencing,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,,,,,Uncategorized,3631890,3424,None,complete,None,None,complete,None,None,None,complete,None,None
Acidipropionibacterium acidipropionici ATCC 4875,2521172602,Bacteria,Propionibacterium acidipropionici ATCC 4875,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,Engineered,Food production,Unclassified,Dairy products,Enigineered Food Production,3656170,3433,None,incomplete,None,None,complete,None,None,None,complete,None,None
Kocuria flava HO-9041,2721755800,Bacteria,Kocuria flava HO-9041 Genome sequencing,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria flava,Environmental,Air,,,Air,3638342,3331,None,complete,complete,None,complete,None,None,None,complete,None,None
"Brachybacterium faecium 6-10, DSM 4810",644736331,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,3614992,3189,None,complete,None,None,complete,None,None,None,complete,None,None
Rothia dentocariosa ATCC 17931,649633093,Bacteria,Human Microbiome Project (HMP) Reference Genomes,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa,Host-associated,Human,Oral,Digestive system,Human Host,2506025,2281,None,complete,None,None,complete,None,None,None,complete,None,None
