Strain,Taxa_ID,GH1,GH3,GH5,GH6,GH8,bcsZ,GH9,GH12,GH44,GH45,GH48
Acaryochloris marina MBIC11017,329726,1,1,0,0,0,0,0,0,0,0,0
Acaryochloris sp. CCMEE 5410,310037,1,1,0,0,0,0,0,0,0,0,0
Anabaena variabilis ATCC 29413,240292,0,1,0,0,0,0,0,0,0,0,0
Arthrospira maxima CS-328,513049,0,1,0,0,0,0,0,0,0,0,0
Arthrospira platensis NIES-39,696747,0,1,0,0,0,0,0,0,0,0,0
Arthrospira sp. PCC 8005,376219,0,1,0,0,0,0,0,0,0,0,0
Crocosphaera watsonii WH 0003,423471,0,0,0,0,0,0,0,0,0,0,0
Crocosphaera watsonii WH 8501,165597,0,0,0,0,0,0,0,0,0,0,0
cyanobacterium UCYN-A,713887,0,1,0,0,0,0,0,0,0,0,0
Cyanobium sp. PCC 7001,180281,0,3,0,0,0,0,0,0,0,0,0
Cyanothece sp. ATCC 51142,43989,0,1,0,0,0,0,0,0,0,0,0
Cyanothece sp. ATCC 51472,860575,0,0,0,0,0,0,0,0,0,0,0
Cyanothece sp. CCY0110,391612,0,2,0,0,0,0,0,0,0,0,0
Cyanothece sp. PCC 7424,65393,0,1,0,0,0,0,0,0,0,0,0
Cyanothece sp. PCC 7425,395961,3,2,0,0,0,0,0,0,0,0,0
Cyanothece sp. PCC 7822,497965,3,1,0,0,0,0,0,0,0,0,0
Cyanothece sp. PCC 8801,41431,0,1,0,0,0,0,0,0,0,0,0
Cyanothece sp. PCC 8802,395962,0,1,0,0,0,0,0,0,0,0,0
Cylindrospermopsis raciborskii CS-505,533240,0,1,0,0,0,0,0,0,0,0,0
Fischerella sp. JSC-11,741277,0,0,0,0,0,0,0,0,0,0,0
Gloeobacter violaceus PCC 7421,251221,2,3,0,0,0,0,0,0,0,0,0
Leptolyngbya valderiana BDU 20041,322866,0,0,0,0,0,0,0,0,0,0,0
Lyngbya majuscula 3L,489825,0,0,0,0,0,0,0,0,0,0,0
Lyngbya sp. PCC 8106,313612,1,1,0,0,0,0,0,0,0,0,0
Microcoleus chthonoplastes PCC 7420,118168,1,2,0,0,0,0,0,0,0,0,0
Microcoleus vaginatus FGP-2,756067,0,0,0,0,0,0,0,0,0,0,0
Microcystis aeruginosa NIES-843,449447,0,1,0,0,0,0,0,0,0,0,0
Nodularia spumigena CCY9414,313624,0,1,0,0,0,0,0,0,0,0,0
Nostoc azollae 0708,551115,3,1,0,0,0,0,0,0,0,0,0
Nostoc punctiforme PCC 73102,63737,3,1,0,0,0,0,0,0,0,0,0
Nostoc sp. PCC 7120,103690,0,1,0,0,0,0,0,0,0,0,0
Oscillatoria sp. PCC 6506,272129,0,1,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. AS9601,146891,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9202,93058,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9211,93059,0,1,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9215,93060,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9301,167546,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9303,59922,0,1,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9312,74546,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9313,74547,0,1,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. MIT 9515,167542,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. NATL1A,167555,0,1,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus str. NATL2A,59920,0,1,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus subsp. marinus str. CCMP1375,167539,0,1,0,0,0,0,0,0,0,0,0
Prochlorococcus marinus subsp. pastoris str. CCMP1986,59919,0,0,0,0,0,0,0,0,0,0,0
Raphidiopsis brookii D9,533247,0,1,0,0,0,0,0,0,0,0,0
Synechococcus elongatus PCC 6301,269084,0,2,0,0,0,0,0,0,0,0,0
Synechococcus elongatus PCC 7942,1140,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. BL107,313625,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. CB0101,232348,0,3,0,0,0,0,0,0,0,0,0
Synechococcus sp. CB0205,232363,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. CC9311,64471,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. CC9605,110662,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. CC9902,316279,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. JA-2-3B'a(2-13),321332,0,2,0,0,0,0,0,0,0,0,0
Synechococcus sp. JA-3-3Ab,321327,0,0,0,0,0,0,0,0,0,0,0
Synechococcus sp. PCC 7002,32049,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. PCC 7335,91464,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. RCC307,316278,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. RS9916,221359,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. RS9917,221360,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. WH 5701,69042,0,3,0,0,0,0,0,0,0,0,0
Synechococcus sp. WH 7803,32051,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. WH 7805,59931,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. WH 8016,166318,0,0,0,0,0,0,0,0,0,0,0
Synechococcus sp. WH 8102,84588,0,1,0,0,0,0,0,0,0,0,0
Synechococcus sp. WH 8109,166314,0,1,0,0,0,0,0,0,0,0,0
Synechocystis sp. PCC 6803,1148,0,1,0,0,0,0,0,0,0,0,0
Thermosynechococcus elongatus BP-1,197221,0,1,0,0,0,0,0,0,0,0,0
Trichodesmium erythraeum IMS101,203124,0,1,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-01,634452,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-01-42C,634458,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-03,634453,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-07,634454,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-12,634459,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-22,634455,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-26,634456,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus IFO 3283-32,634457,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus NBRC 101655,1006554,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus subsp. pasteurianus LMG 1262,940265,0,0,0,0,0,0,0,0,0,0,0
Acetobacter tropicalis NBRC 101654,749388,0,1,0,0,0,0,0,0,0,0,0
Acetobacteraceae bacterium AT-5844,1054213,0,1,0,0,0,0,0,0,0,0,0
Achromobacter arsenitoxydans SY8,477184,0,1,0,0,0,0,0,0,0,0,0
Achromobacter piechaudii ATCC 43553,742159,0,1,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans A8,762376,0,1,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans AXX-A,1003200,0,1,0,0,0,1,0,0,0,0,0
Acidiphilium cryptum JF-5,349163,0,1,0,0,0,0,0,0,0,0,0
Acidiphilium multivorum AIU301,926570,0,1,0,0,0,0,0,0,0,0,0
Acidiphilium sp. PM,1043206,0,1,0,0,0,0,0,0,0,0,0
Acidithiobacillus caldus ATCC 51756,637389,0,1,0,0,0,1,0,0,0,0,0
Acidithiobacillus caldus SM-1,990288,0,1,0,0,0,1,0,0,0,0,0
Acidithiobacillus ferrivorans SS3,743299,0,1,0,0,0,1,0,0,0,0,0
Acidithiobacillus ferrooxidans ATCC 23270,243159,0,1,0,0,0,0,0,0,0,0,0
